type,id,parent_id,create_time,platform,content,liked_count,title,comment_count,share_count,user_name,ip_location,source_keyword,url
"post","dy_post_000001","","2025-05-12T09:15:22+08:00","dy","最近网上都在讨论特斯拉得州工厂的工人问题，有人说员工正在考虑罢工，也有人说只是劳资矛盾升级。现在各种消息混在一起，最好先确认来源。","18420","特斯拉得州工厂到底发生了什么？","426","1830","汽车观察员","广东广州","Tesla Texas strike 2025","https://www.douyin.com/video/sim_dy_000001"
"comment","dy_comment_000001","dy_post_000001","2025-05-12T09:21:44+08:00","dy","我看到的报道主要是关于员工待遇和劳动纠纷，好像不能直接说已经发生正式罢工。","842","","0","0","理性吃瓜","上海","Tesla Texas strike 2025","https://www.douyin.com/video/sim_dy_000001?comment_id=sim_dy_comment_000001"
"sub_comment","dy_sub_000001","dy_comment_000001","2025-05-12T09:25:18+08:00","dy","对，区分“讨论罢工”和“已经罢工”还是很重要的。","316","","0","0","汽车观察员","广东广州","Tesla Texas strike 2025","https://www.douyin.com/video/sim_dy_000001?comment_id=sim_dy_comment_000001&reply_id=sim_dy_sub_000001"
"post","bili_post_000001","","2025-05-13T14:32:11+08:00","bili","整理一下2025年特斯拉得州工厂相关争议：劳动关系、安全问题、裁员以及生产调整都被网友联系在一起，但这些事件并不等于已经确认发生员工罢工。","9632","一文梳理特斯拉得州工厂2025年争议","318","745","科技冷知识","北京","Tesla Giga Texas labor dispute","https://www.bilibili.com/video/BVsim000001"
"comment","bili_comment_000001","bili_post_000001","2025-05-13T14:41:27+08:00","bili","这个区分很有必要，很多短视频标题会直接写成“特斯拉罢工”，但正文其实讲的是劳动纠纷。","1260","","0","0","数据控","浙江杭州","Tesla Giga Texas labor dispute","https://www.bilibili.com/video/BVsim000001?comment=sim_bili_comment_000001"
"post","wb_post_000001","","2025-05-15T08:42:09+08:00","wb","#特斯拉得州工厂# 最近关于得州工厂员工问题的讨论越来越多。有人关注工资和工作条件，也有人关注裁员及生产安排。希望后续能有更明确的信息。","7321","特斯拉得州工厂劳动争议引发讨论","152","386","财经小观察","北京","特斯拉 得州 劳动争议","https://weibo.com/simulated/000001"
"comment","wb_comment_000001","wb_post_000001","2025-05-15T08:49:33+08:00","wb","如果没有官方确认，还是不要直接使用“罢工”这个结论。","527","","0","0","财经理性派","上海","特斯拉 得州 劳动争议","https://weibo.com/simulated/000001?comment_id=sim_wb_comment_000001"
"comment","wb_comment_000002","wb_post_000001","2025-05-15T08:55:17+08:00","wb","员工安全和工作环境的问题确实值得关注，不管最后是不是罢工。","391","","0","0","城市观察者","江苏南京","特斯拉 得州 劳动争议","https://weibo.com/simulated/000001?comment_id=sim_wb_comment_000002"
"post","zhihu_post_000001","","2025-05-17T11:16:43+08:00","zhihu","如何看待2025年特斯拉得州工厂被讨论的劳动关系问题？目前网络上经常把裁员、员工投诉、生产调整和所谓“罢工”放在一起讨论，这几个事件应该如何区分？","4217","如何看待特斯拉得州工厂2025年的劳动争议？","94","0","产业研究员","上海","Tesla Texas labor dispute","https://www.zhihu.com/question/sim_000001"
"comment","zhihu_comment_000001","zhihu_post_000001","2025-05-17T11:28:12+08:00","zhihu","我认为首先应该把事实分层：已经确认的劳动案件是一层，员工表达不满是一层，媒体或网友预测可能罢工又是另一层。","613","","0","0","制造业研究","江苏苏州","Tesla Texas labor dispute","https://www.zhihu.com/question/sim_000001?comment=sim_zhihu_comment_000001"
"sub_comment","zhihu_sub_000001","zhihu_comment_000001","2025-05-17T11:35:28+08:00","zhihu","这个方法也适合分析其他企业的劳资新闻，可以避免把推测当成事实。","182","","0","0","产业研究员","上海","Tesla Texas labor dispute","https://www.zhihu.com/question/sim_000001?comment=sim_zhihu_comment_000001&reply=sim_zhihu_sub_000001"
"post","tieba_post_000001","","2025-05-19T19:03:51+08:00","tieba","有没有人关注特斯拉得州工厂最近的消息？网上有人说工人要罢工，但是我找了几个报道，好像更多是在说劳动纠纷和人员调整。","2187","特斯拉得州真的要罢工了吗","67","38","汽车吧网友","四川成都","特斯拉 得州 罢工","https://tieba.baidu.com/p/sim_000001"
"comment","tieba_comment_000001","tieba_post_000001","2025-05-19T19:12:46+08:00","tieba","我觉得标题党比较多，看到“strike”就直接翻译成罢工了。","341","","0","0","路过看看","重庆","特斯拉 得州 罢工","https://tieba.baidu.com/p/sim_000001?pid=sim_tieba_comment_000001"
